,submit_form_code,site,location,microsite,overall_sample_number,samplenumber,what,what_where,collection_date,collection_date_value,collection_time,life_stage_cohort,life_stage,bird_name,bird_id,cohousing_status,cohousing_id,cohort,cohort_actual,age_1,age_2,average_age,age_bin,weight,weight_bin,sample_freshness,coccidiosis_treatment_history,coccidiosis_treatment,eryvac_vaccination_dose_1_date,eryvac_vaccination_dose_1_date_value,eryvac_vaccination_dosage_1,eryvac_vaccination_dose_2_date,eryvac_vaccination_dose_2_date_value,eryvac_vaccination_dosage_2,medical_history,antiobiotics_history_med_1,antiobiotics_history_med_2,antiobiotics_history_med_3,antibiotics_history,antibiotics_status_on_collection,antifungal_history_med_1,antifungal_history_med_2,antifungal_history,antifungal_status_on_collection,cohort_bird_name
AG0699_rowi_002,AG0699_rowi_002,Willowbank,wild_chick_pens,holding_pen_2_hutch,2,2,kiwi_poo,kiwi_poo_control,13/10/2020,44117,900,Control - Transitionary,Transitionary,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,36,38,37,<40,467.5,3,3,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_003,AG0699_rowi_003,Willowbank,wild_chick_pens,holding_pen_2_hutch,3,3,kiwi_poo,kiwi_poo_control,13/10/2020,44117,1125,Control - Transitionary,Transitionary,Te_Haumaru,R.DK2021.1,negative,NA,Control,Control,38,NA,38,<40,526,3,1,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Te_Haumaru
AG0699_rowi_004,AG0699_rowi_004,Willowbank,runs,run_1_hutch,4,4,kiwi_poo,kiwi_poo_control,17/10/2020,44121,830,Control - Runs,Runs,Boof,R.DG2021.1,negative,NA,Control,Control,40,NA,40,<40,466,3,2,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof
AG0699_rowi_005,AG0699_rowi_005,Willowbank,runs,run_1_hutch,5,5,kiwi_poo,kiwi_poo_control,17/10/2020,44121,830,Control - Runs,Runs,Te_Haumaru,R.DK2021.1,negative,NA,Control,Control,42,NA,42,<50,526,3,2,negative,NA,20/10/2020,44124,0.5,3/11/2020,44138,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Te_Haumaru
AG0699_rowi_006,AG0699_rowi_006,Willowbank,transport_box,transport_box,6,6,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Transitionary,Transitionary,Brownie,R.DZ2021.1,negative,NA,Control,Control,24,NA,24,<30,417.5,2,1,negative,NA,14/10/2020,44118,0.5,28/10/2020,44132,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Brownie
AG0699_rowi_007,AG0699_rowi_007,Willowbank,transport_box,transport_box_swab,7,7,environmental_swab,swab_willowbank,22/10/2020,44126,700,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_008,AG0699_rowi_008,Willowbank,wild_chick_pens,holding_pen_2_swab_hutch,8,8,environmental_swab,swab_willowbank,21/10/2020,44125,700,Willowbank swab,NA,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
AG0699_rowi_009,AG0699_rowi_009,Willowbank,transport_box,transport_box,9,9,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Transitionary,Transitionary,Mahuta,R.CU2021.1,negative,NA,Control,Control,24,NA,24,<30,417.5,2,1,negative,NA,14/10/2020,44118,0.5,28/10/2020,44132,0.5,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Mahuta
AG0699_rowi_010,AG0699_rowi_010,Willowbank,runs,run_1_hutch,10,10,kiwi_poo,kiwi_poo_control,21/10/2020,44125,700,Control - Runs,Runs,Boof_Te_Haumaru,R.DG2021.1 / R.DK2021.1,positive,c3,Control,Control,44,46,45,<50,530,3,2,negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,negative,negative,NA,NA,negative,negative,Control_Boof_Te_Haumaru
AG0699_rowi_011,AG0699_rowi_011,Willowbank,runs,run_1,11,11,environmental_soil,soil_willowbank,21/10/2020,44125,700,Willowbank soil,Soil,NA,NA,NA,NA,Willowbank environmental,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA_NA
